combo,jv_K,bm_K,source,hits,total,pct
jv500+bm5000,500,5000,google_drive,41,42,97.62
jv500+bm5000,500,5000,hubspot,32,33,96.97
jv500+bm5000,500,5000,fireflies,21,21,100.0
jv500+bm5000,500,5000,ALL,464,500,92.8
jv1000+bm100,1000,100,jira,57,60,95.0
jv1000+bm100,1000,100,linear,43,44,97.73
jv1000+bm100,1000,100,confluence,60,64,93.75
jv1000+bm100,1000,100,github,38,39,97.44
jv1000+bm100,1000,100,gmail,42,42,100.0
jv1000+bm100,1000,100,slack,48,57,84.21
jv1000+bm100,1000,100,google_drive,39,42,92.86
jv1000+bm100,1000,100,hubspot,28,33,84.85
jv1000+bm100,1000,100,fireflies,16,21,76.19
jv1000+bm100,1000,100,ALL,439,500,87.8
jv1000+bm500,1000,500,jira,59,60,98.33
jv1000+bm500,1000,500,linear,43,44,97.73
jv1000+bm500,1000,500,confluence,61,64,95.31
jv1000+bm500,1000,500,github,38,39,97.44
jv1000+bm500,1000,500,gmail,42,42,100.0
jv1000+bm500,1000,500,slack,49,57,85.96
jv1000+bm500,1000,500,google_drive,40,42,95.24
jv1000+bm500,1000,500,hubspot,30,33,90.91
jv1000+bm500,1000,500,fireflies,17,21,80.95
jv1000+bm500,1000,500,ALL,447,500,89.4
jv1000+bm1000,1000,1000,jira,59,60,98.33
jv1000+bm1000,1000,1000,linear,43,44,97.73
jv1000+bm1000,1000,1000,confluence,62,64,96.88
jv1000+bm1000,1000,1000,github,38,39,97.44
jv1000+bm1000,1000,1000,gmail,42,42,100.0
jv1000+bm1000,1000,1000,slack,49,57,85.96
jv1000+bm1000,1000,1000,google_drive,41,42,97.62
jv1000+bm1000,1000,1000,hubspot,31,33,93.94
jv1000+bm1000,1000,1000,fireflies,20,21,95.24
jv1000+bm1000,1000,1000,ALL,453,500,90.6
jv1000+bm2000,1000,2000,jira,60,60,100.0
jv1000+bm2000,1000,2000,linear,44,44,100.0
jv1000+bm2000,1000,2000,confluence,62,64,96.88
jv1000+bm2000,1000,2000,github,38,39,97.44
jv1000+bm2000,1000,2000,gmail,42,42,100.0
jv1000+bm2000,1000,2000,slack,53,57,92.98
jv1000+bm2000,1000,2000,google_drive,41,42,97.62
jv1000+bm2000,1000,2000,hubspot,32,33,96.97
jv1000+bm2000,1000,2000,fireflies,21,21,100.0
jv1000+bm2000,1000,2000,ALL,461,500,92.2
jv1000+bm5000,1000,5000,jira,60,60,100.0
jv1000+bm5000,1000,5000,linear,44,44,100.0
jv1000+bm5000,1000,5000,confluence,63,64,98.44
jv1000+bm5000,1000,5000,github,39,39,100.0
jv1000+bm5000,1000,5000,gmail,42,42,100.0
jv1000+bm5000,1000,5000,slack,54,57,94.74
jv1000+bm5000,1000,5000,google_drive,41,42,97.62
jv1000+bm5000,1000,5000,hubspot,32,33,96.97
jv1000+bm5000,1000,5000,fireflies,21,21,100.0
jv1000+bm5000,1000,5000,ALL,464,500,92.8
jv2000+bm100,2000,100,jira,57,60,95.0
jv2000+bm100,2000,100,linear,44,44,100.0
jv2000+bm100,2000,100,confluence,60,64,93.75
jv2000+bm100,2000,100,github,38,39,97.44
jv2000+bm100,2000,100,gmail,42,42,100.0
jv2000+bm100,2000,100,slack,50,57,87.72
jv2000+bm100,2000,100,google_drive,39,42,92.86
jv2000+bm100,2000,100,hubspot,28,33,84.85
jv2000+bm100,2000,100,fireflies,17,21,80.95
jv2000+bm100,2000,100,ALL,443,500,88.6
jv2000+bm500,2000,500,jira,59,60,98.33
jv2000+bm500,2000,500,linear,44,44,100.0
jv2000+bm500,2000,500,confluence,61,64,95.31
jv2000+bm500,2000,500,github,38,39,97.44
jv2000+bm500,2000,500,gmail,42,42,100.0
jv2000+bm500,2000,500,slack,50,57,87.72
jv2000+bm500,2000,500,google_drive,40,42,95.24
jv2000+bm500,2000,500,hubspot,30,33,90.91
jv2000+bm500,2000,500,fireflies,18,21,85.71
jv2000+bm500,2000,500,ALL,450,500,90.0
jv2000+bm1000,2000,1000,jira,59,60,98.33
jv2000+bm1000,2000,1000,linear,44,44,100.0
jv2000+bm1000,2000,1000,confluence,62,64,96.88
jv2000+bm1000,2000,1000,github,38,39,97.44
jv2000+bm1000,2000,1000,gmail,42,42,100.0
jv2000+bm1000,2000,1000,slack,50,57,87.72
jv2000+bm1000,2000,1000,google_drive,41,42,97.62
jv2000+bm1000,2000,1000,hubspot,31,33,93.94
jv2000+bm1000,2000,1000,fireflies,20,21,95.24
jv2000+bm1000,2000,1000,ALL,455,500,91.0
jv2000+bm2000,2000,2000,jira,60,60,100.0
jv2000+bm2000,2000,2000,linear,44,44,100.0
jv2000+bm2000,2000,2000,confluence,62,64,96.88
jv2000+bm2000,2000,2000,github,38,39,97.44
jv2000+bm2000,2000,2000,gmail,42,42,100.0
jv2000+bm2000,2000,2000,slack,53,57,92.98
jv2000+bm2000,2000,2000,google_drive,41,42,97.62
jv2000+bm2000,2000,2000,hubspot,32,33,96.97
jv2000+bm2000,2000,2000,fireflies,21,21,100.0
jv2000+bm2000,2000,2000,ALL,461,500,92.2
jv2000+bm5000,2000,5000,jira,60,60,100.0
jv2000+bm5000,2000,5000,linear,44,44,100.0
jv2000+bm5000,2000,5000,confluence,63,64,98.44
jv2000+bm5000,2000,5000,github,39,39,100.0
jv2000+bm5000,2000,5000,gmail,42,42,100.0
jv2000+bm5000,2000,5000,slack,54,57,94.74
jv2000+bm5000,2000,5000,google_drive,41,42,97.62
jv2000+bm5000,2000,5000,hubspot,32,33,96.97
jv2000+bm5000,2000,5000,fireflies,21,21,100.0
jv2000+bm5000,2000,5000,ALL,464,500,92.8
jv5000+bm100,5000,100,jira,58,60,96.67
jv5000+bm100,5000,100,linear,44,44,100.0
jv5000+bm100,5000,100,confluence,60,64,93.75
jv5000+bm100,5000,100,github,39,39,100.0
jv5000+bm100,5000,100,gmail,42,42,100.0
jv5000+bm100,5000,100,slack,52,57,91.23
jv5000+bm100,5000,100,google_drive,40,42,95.24
jv5000+bm100,5000,100,hubspot,32,33,96.97
jv5000+bm100,5000,100,fireflies,17,21,80.95
jv5000+bm100,5000,100,ALL,452,500,90.4
jv5000+bm500,5000,500,jira,59,60,98.33
jv5000+bm500,5000,500,linear,44,44,100.0
jv5000+bm500,5000,500,confluence,61,64,95.31
jv5000+bm500,5000,500,github,39,39,100.0
jv5000+bm500,5000,500,gmail,42,42,100.0
jv5000+bm500,5000,500,slack,52,57,91.23
jv5000+bm500,5000,500,google_drive,40,42,95.24
jv5000+bm500,5000,500,hubspot,33,33,100.0
jv5000+bm500,5000,500,fireflies,18,21,85.71
jv5000+bm500,5000,500,ALL,456,500,91.2
jv5000+bm1000,5000,1000,jira,59,60,98.33
jv5000+bm1000,5000,1000,linear,44,44,100.0
jv5000+bm1000,5000,1000,confluence,62,64,96.88
jv5000+bm1000,5000,1000,github,39,39,100.0
jv5000+bm1000,5000,1000,gmail,42,42,100.0
jv5000+bm1000,5000,1000,slack,52,57,91.23
jv5000+bm1000,5000,1000,google_drive,41,42,97.62
jv5000+bm1000,5000,1000,hubspot,33,33,100.0
jv5000+bm1000,5000,1000,fireflies,20,21,95.24
jv5000+bm1000,5000,1000,ALL,460,500,92.0
jv5000+bm2000,5000,2000,jira,60,60,100.0
jv5000+bm2000,5000,2000,linear,44,44,100.0
jv5000+bm2000,5000,2000,confluence,62,64,96.88
jv5000+bm2000,5000,2000,github,39,39,100.0
jv5000+bm2000,5000,2000,gmail,42,42,100.0
jv5000+bm2000,5000,2000,slack,54,57,94.74
jv5000+bm2000,5000,2000,google_drive,41,42,97.62
jv5000+bm2000,5000,2000,hubspot,33,33,100.0
jv5000+bm2000,5000,2000,fireflies,21,21,100.0
jv5000+bm2000,5000,2000,ALL,464,500,92.8
jv5000+bm5000,5000,5000,jira,60,60,100.0
jv5000+bm5000,5000,5000,linear,44,44,100.0
jv5000+bm5000,5000,5000,confluence,63,64,98.44
jv5000+bm5000,5000,5000,github,39,39,100.0
jv5000+bm5000,5000,5000,gmail,42,42,100.0
jv5000+bm5000,5000,5000,slack,55,57,96.49
jv5000+bm5000,5000,5000,google_drive,41,42,97.62
jv5000+bm5000,5000,5000,hubspot,33,33,100.0
jv5000+bm5000,5000,5000,fireflies,21,21,100.0
jv5000+bm5000,5000,5000,ALL,466,500,93.2
